Date,Close,High,Low,Open,Volume,Ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2025-07-11,210.92062377929688,211.88952536572023,209.6220944658076,210.33129628612954,39765800,AAPL
2025-07-14,208.3834991455078,210.67091168904602,207.3047216270235,209.69201166358403,38840100,AAPL
2025-07-15,208.87295532226562,211.64980271899068,208.6831682659836,208.9828312368767,42296300,AAPL
2025-07-16,209.92176818847656,212.1592191902425,208.40348697906978,210.06160887608695,47490500,AAPL
2025-07-17,209.78192138671875,211.5599023237274,209.35240091776063,210.33130094399476,48068100,AAPL
2025-07-18,210.9405975341797,211.54990664350106,209.46227954032304,210.63095139102305,48974600,AAPL
2025-07-21,212.23912048339844,215.53538252867688,211.39009321998003,211.8595616297783,51377400,AAPL
2025-07-22,214.15695190429688,214.7063314773177,211.9894136266437,212.89838571641525,46404100,AAPL
2025-07-23,213.9072265625,214.90609293027538,212.1692088371252,214.75626907170553,46989300,AAPL
2025-07-24,213.51766967773438,215.44548969662856,213.28793468034502,213.65751035981805,46022600,AAPL
2025-07-25,213.63754272460938,214.9960015887686,213.15807589620647,214.45660521718813,40268800,AAPL
2025-07-28,213.80735778808594,214.60645396318566,212.81847455673218,213.78737619229818,37858000,AAPL
2025-07-29,211.03050231933594,214.5664825639156,210.58101550100253,213.93719187335407,51411700,AAPL
2025-07-30,208.81301879882812,212.14922883427738,207.48452469073794,211.65977882345743,45512500,AAPL
2025-07-31,207.33470153808594,209.60211724381097,206.92516266487007,208.25365677749065,80698400,AAPL
2025-08-01,202.1505889892578,213.33788973606855,201.27158167093614,210.63095505795985,104434500,AAPL
2025-08-04,203.11949157714844,207.64435521756303,201.4513712516652,204.27816503495924,75109300,AAPL
2025-08-05,202.68995666503906,205.1072113881769,201.93082373064988,203.1694082424696,44155100,AAPL
2025-08-06,213.0082550048828,215.1358452662651,205.35693489516686,205.39689808550258,108483100,AAPL
2025-08-07,219.7805633544922,220.59964108330854,216.33447747046458,218.63187314031333,90224800,AAPL
2025-08-08,229.0900115966797,230.73813503605493,219.00145500716468,220.57966572513484,113854000,AAPL
2025-08-11,227.17999267578125,229.55999755859375,224.75999450683594,227.9199981689453,61806100,AAPL
