date,close,high,low,open,volume,ret_1d,ma_10,ma_20,rsi_14,label_up,ticker
,aapl,aapl,aapl,aapl,aapl,,,,,,
2023-09-21,172.2428741455078,174.5898954535224,172.17356100214752,172.856870429388,63149100,,,,,1,AAPL
2023-09-22,173.09454345703125,175.36233909077248,172.36173107244514,172.97571228348323,56725400,0.004944583720798645,,,99.99999999988259,1,AAPL
2023-09-25,174.37203979492188,175.2534062611611,172.46075278406465,172.51027081019092,46172700,0.007380338584779045,,,99.99999999988663,0,AAPL
2023-09-26,170.2919921875,173.50055447022797,169.99489916963813,173.1242507509963,64588900,-0.02339851969513229,,,73.75695788043495,0,AAPL
2023-09-27,168.77682495117188,171.36150860467507,167.41022120055555,170.94558441007192,66921800,-0.008897466151314037,,,66.75122694403103,1,AAPL
2023-09-28,169.03431701660156,170.36131544966938,165.99408862675534,167.69740591218968,56294400,0.0015256363870108647,,,67.3193328898202,1,AAPL
2023-09-29,169.54928588867188,171.39124466953126,168.68771453081845,170.35142654777866,51861100,0.0030465344621100066,,,68.47931468412516,1,AAPL
2023-10-02,172.06463623046875,172.6093042881744,169.2719827950215,169.55917827580257,52164500,0.014835511271032331,,,73.43854529744247,0,AAPL
2023-10-03,170.7277069091797,171.94578673866616,169.16304627124387,170.58906551933305,49594600,-0.007769925015261969,,,67.37134260465956,1,AAPL
2023-10-04,171.97549438476562,172.52016238398562,169.3115850792172,169.43041623876405,53020300,0.007308640748333373,171.21297149658204,,69.8730497344314,1,AAPL
2023-10-05,173.21339416503906,173.74814957044222,171.00501406167223,172.1042477774046,48527900,0.007198117293989892,171.31002349853514,,72.15406705249323,1,AAPL
2023-10-06,175.7683868408203,176.2635369377298,171.50018031240361,172.11417670790303,57266700,0.01475054910214868,171.57740783691406,,76.16525316050212,1,AAPL
2023-10-09,177.25381469726562,177.3132302836497,174.09475506108697,175.09495269037185,42390800,0.00845105245114719,171.86558532714844,,78.13706758639346,0,AAPL
2023-10-10,176.6596221923828,177.9767230488949,176.22388776036024,176.3724418317021,43698000,-0.0033522127910061705,172.50234832763672,,75.44822838443268,1,AAPL
2023-10-11,178.05593872070312,178.10545674166264,175.8772817954906,176.4714527146694,47551100,0.00790399362905747,173.43025970458984,,77.41506364990977,1,AAPL
2023-10-12,178.95713806152344,180.57131695227565,177.30332359387822,178.3233466007442,56743100,0.005061327059884935,174.42254180908202,,78.6062864506942,0,AAPL
2023-10-13,177.11517333984375,180.1652842541005,176.41205364228972,179.6602366589199,51427100,-0.01029277033390219,175.17913055419922,,70.42964841079487,0,AAPL
2023-10-16,176.9864044189453,177.34291299761338,174.79783492835955,175.03551235106417,52517000,-0.0007270349483348149,175.6713073730469,,69.88238096072243,0,AAPL
2023-10-17,175.431640625,176.6893258679855,173.10444466932296,174.93649062028842,57549400,-0.008784650996497056,176.1417007446289,,63.46957989958711,0,AAPL
2023-10-18,174.13436889648438,175.85749653944856,173.4114540423014,173.87689630601963,54764400,-0.007394742042506786,176.3575881958008,173.7852798461914,58.6346968187151,0,AAPL
2023-10-19,173.758056640625,176.11496052795673,173.4906713911534,174.33241738277906,59302900,-0.002161045279252538,176.41205444335938,173.86103897094728,57.27179908021748,0,AAPL
2023-10-20,171.20306396484375,173.718419244541,170.96538653172513,173.60948564320893,64244000,-0.01470431199092892,175.9555221557617,173.7664649963379,48.95212822668746,1,AAPL
2023-10-23,171.32191467285156,172.32211231863303,168.2816861592976,169.25219112217718,55980100,0.000694209001027124,175.36233215332032,173.61395874023438,49.32092810493796,1,AAPL
2023-10-24,171.75762939453125,171.985394156852,169.7869270122857,171.3714130102576,43816600,0.002543251530381818,174.87213287353515,173.68724060058594,50.726369795507594,0,AAPL
2023-10-25,169.4403533935547,171.38133313025827,168.99470625930118,170.2127862637829,57157000,-0.013491546251221953,174.0105743408203,173.72041702270508,43.773616475302376,0,AAPL
2023-10-26,165.27117919921875,169.71763198356828,164.06301189675906,168.71741923518283,70625300,-0.02460555653264196,172.64197845458983,173.53226013183593,34.5880477959747,1,AAPL
2023-10-27,166.58827209472656,167.32109955610002,165.21175565878588,165.29098147440297,58499100,0.007969283585253395,171.58928833007812,173.38420944213868,38.94671495603221,1,AAPL
2023-10-30,168.63819885253906,169.50966778359705,167.23197451155576,167.3805285943209,51131000,0.012305348582082987,170.7544677734375,173.2128875732422,45.080515736143695,1,AAPL
2023-10-31,169.11355590820312,169.24228464861295,166.27138428536674,167.70733154956028,44846000,0.0028187982254228583,170.1226593017578,173.13218002319337,46.424678013254585,1,AAPL
2023-11-01,172.28250122070312,172.53997379429074,168.46983997695696,169.34130885799144,56934900,0.018738564720501394,169.93747253417968,173.14753036499025,54.43164577435955,1,AAPL
2023-11-02,175.84759521484375,176.05554977286621,173.75806140886317,173.8174769968696,77334800,0.020693302969716942,170.14642639160155,173.27924041748048,61.41770510477748,0,AAPL
2023-11-03,174.93650817871094,175.10487249469713,171.66852990822986,172.5498964006483,79829200,-0.005181117404646218,170.51977081298827,173.237646484375,58.93120867238509,1,AAPL
2023-11-06,177.49148559570312,177.68954259678722,174.50079012453784,174.66913933099835,63841300,0.014605169861868328,171.13672790527343,173.24953002929686,63.405478859768664,1,AAPL
2023-11-07,180.0563507080078,180.67033186387974,177.23398970359145,177.4419442386158,70530000,0.01445063746971531,171.9666000366211,173.41936645507812,67.26143489346359,1,AAPL
2023-11-08,181.115966796875,181.67053238037917,179.8285737718667,180.5812114444328,49340300,0.005884913721180274,173.13416137695313,173.5723678588867,68.72748079987907,0,AAPL
2023-11-09,180.64064025878906,182.3340449245472,180.04645416963677,181.18530832204868,53763500,-0.002624431995104093,174.67110748291014,173.65654296875,67.27218372636108,1,AAPL
2023-11-10,184.83511352539062,185.00369964258533,181.989212824357,182.42552132152326,66133400,0.023219986712804452,176.49579162597655,174.04253997802735,72.75473097763523,0,AAPL
2023-11-13,183.24855041503906,184.4682199516521,182.6635072771428,184.25999143916752,43627500,-0.008583667248558857,177.95682678222656,174.35564727783202,68.10719306270894,1,AAPL
2023-11-14,185.8664093017578,186.53078271340215,184.7359804157126,186.1242211071054,60108400,0.01428583680902018,179.63211212158203,174.87738571166992,71.35831884298568,1,AAPL
2023-11-15,186.43161010742188,187.90910668353808,186.20354524355434,186.2729648412074,53790500,0.0030408980718319434,181.0470230102539,175.49224777221679,72.02146196348114,1,AAPL
2023-11-16,188.11734008789062,189.35684600106327,187.06622636374277,187.9785160308428,54412900,0.009042082399532081,182.27399749755858,176.21021194458007,73.95811201266848,0,AAPL
2023-11-17,188.09750366210938,188.78171334674664,186.98691120628507,188.65279989002153,50922700,-0.00010544708835447114,183.59009704589843,177.05493392944337,73.89329466453908,1,AAPL
2023-11-20,189.84271240234375,190.29885721130628,188.28590092727276,188.29581152699646,46505100,0.009278213193990137,184.8252197265625,177.98097381591796,75.89491945289484,0,AAPL
2023-11-21,189.03952026367188,189.91213724546566,188.14708208188244,189.80306012274144,38134500,-0.004230829450906803,185.7235366821289,178.845068359375,73.11646955523352,1,AAPL
2023-11-22,189.7039031982422,191.31029805901488,189.22793715258507,189.88239992204348,39617700,0.003514518729436311,186.58233032226562,179.85824584960938,73.96549914046395,0,AAPL
2023-11-24,188.37515258789062,189.2973377280717,187.66119596873028,189.26759079649733,24048300,-0.007004339857799358,187.35578155517578,181.01344451904296,69.25469106645922,0,AAPL
2023-11-27,188.19667053222656,189.06928760823715,187.31414285514808,188.3255839995523,40552600,-0.000947481943409656,187.6919372558594,182.09386444091797,68.62247091304168,1,AAPL
2023-11-28,188.80152893066406,189.47582799498892,187.8099242301234,188.1867388581487,38415400,0.0032139697090651786,188.2472351074219,183.1020309448242,69.63416273426532,0,AAPL
2023-11-29,187.7801971435547,190.47736342450784,187.38356127369806,189.2973512852548,43014200,-0.0054095525226622865,188.43861389160156,184.0353630065918,65.77755857611524,1,AAPL
2023-11-30,188.35531616210938,188.7222202024886,186.61009727764167,188.2462390361622,48794400,0.0030627245433927364,188.6309844970703,184.8390037536621,66.88960429432308,1,AAPL
2023-12-01,189.63449096679688,189.95179660734362,187.64135580786584,188.73212704562349,45704800,0.006791285909799161,188.78269958496094,185.52834854125976,69.28061244751656,0,AAPL
2023-12-04,187.8396759033203,188.45448112204545,185.87630278327032,188.38506152852514,43389500,-0.009464602427154523,188.75691680908204,186.17350692749022,62.4646740514508,1,AAPL
2023-12-05,191.7961883544922,192.76795676998717,188.58338352707358,188.61314558971708,66628400,0.02106324146985994,188.95226440429687,186.88874206542968,69.57145114533996,0,AAPL
2023-12-06,190.70542907714844,193.1249319103576,190.4971854261922,192.8175368647406,41089700,-0.0056870748407561456,189.11885528564454,187.42119598388672,65.86879580139107,1,AAPL
2023-12-07,192.63905334472656,193.3629205543118,191.96475426663108,192.0044269286476,47477700,0.01013932470058787,189.41237030029296,187.9973503112793,69.01680690575797,1,AAPL
2023-12-08,194.0669708251953,194.34461894265894,192.04408867717459,192.56963798027982,53406400,0.007412398761706518,189.98155212402344,188.6686668395996,71.13412031194706,0,AAPL
2023-12-11,191.5582275390625,191.8656377681948,189.81300836010843,191.48882306394165,60943700,-0.012927203817658106,190.31770782470704,189.00482254028321,62.98959817634543,1,AAPL
